item_id,shop_id,cat_id,name,price 2021-08-12,price 2021-08-13,price 2021-08-14,price 2021-08-15,price 2021-08-16,price 2021-08-17,sold 2021-08-12,sold 2021-08-13,sold 2021-08-14,sold 2021-08-15,sold 2021-08-16,sold 2021-08-17,availibility,min_sold,max_sold,delta_sold,avg_price,est_gmv
1911035667,78668069,100630,Bulu mata tanam flare isi 60 helai,-,-,3500,3500,-,-,-,-,576330,577789,-,-,2,576330,577789,1459,3500,5106500
5945571376,278590404,100630,100 pcs Kunciran Rambut Pouch Korea,6999,6999,6999,6999,6999,6999,58658,58725,59666,60532,61233,61697,6,58658,61697,3039,6999,21269961
6411900393,60381158,100630,MASKER ORGANIK 5GR MASKER ORGANIK MURAH MASKER WAJAH MURAH MASKER KECANTIKAN MASKER ALAMI 5GRAM,545,-,-,-,-,545,61567,-,-,-,-,64150,2,61567,64150,2583,545,1407735
6257993705,302967609,100630,PARFUME THAILAND ORI 35ml TERMURAH,-,-,-,-,-,5000,-,-,-,-,-,25422,1,25422,25422,0,5000,0
8283161872,474610295,100630,Bot0x Korea * Botulax * Meditoxin* Nabota* Innotox * Rentox,610000,-,-,-,-,610000,8889,-,-,-,-,8894,2,8889,8894,5,610000,3050000
5171755769,347664698,100630,BRIGHTY GLOWING UNDERARM PEMUTIH KETIAK TERBAIK ALAMI NO.1,99000,-,-,99000,99000,96030,37494,-,-,38845,39350,39725,4,37494,39725,2231,98258,219212482
6464487391,12710636,100630,FreshCare Minyak Angin AromaTherapy Aroma Therapy 10ml,8740,-,-,-,-,-,39512,-,-,-,-,-,1,39512,39512,0,8740,0
1205531130,39283823,100630,NIVEA Personal Care Deodorant Extra Whitening Roll On - 25 ml,9700,9700,9600,9600,-,-,99284,99294,99441,99610,-,-,4,99284,99610,326,9650,3145900
7777018058,195455930,100630,SOMETHINC 10% Niacinamide + Moisture Sabi Beet Max Brightening Serum,115500,-,-,-,115500,115500,66524,-,-,-,67783,68135,3,66524,68135,1611,115500,186070500
9180007484,310038106,100630,Beauty In The Pot 1 PAKET Kecantikan Skincare Facial Wash Brightening Glowing Whitening Sabun Wajah,199000,199000,199000,-,199000,199000,10182,10182,10182,-,10182,10182,5,10182,10182,0,199000,0
2134794708,35017261,100630,IMPLORA Pensil Alis 2in1 - Eyebrow Pencil Original BPOM,3790,3790,3790,-,3790,3790,255435,255441,255902,-,257610,258437,5,255435,258437,3002,3790,11377580
5900834763,11855653,100630,Implora Urban Lip Cream Matte,15300,15300,15300,15300,15300,15300,199092,199148,200804,202604,204251,205626,6,199092,205626,6534,15300,99970200
795358867,39260122,100630,[Per Pc] Liptint Sasimi Aloe Vera 99%,5850,-,-,-,-,-,205667,-,-,-,-,-,1,205667,205667,0,5850,0
603300221,39283823,100630,NIVEA Body Care Extra White Instant Glow SPF15 Lotion 200 ml,28100,28100,-,-,-,-,75109,75119,-,-,-,-,2,75109,75119,10,28100,281000
2196799218,143641889,100630,NBS ultimate OPEN JOIN RESELLER / AGEN / STOCKIST,185000,185000,185000,185000,185000,185000,9981,9981,9981,9981,9981,9981,6,9981,9981,0,185000,0
9228102386,374542337,100630,LACOCO DARK SPOT ESSENCE 12 ml Lcantiflek Penghilang flek hitam glowing bebas jerawat,-,-,400000,189000,-,176000,-,-,10035,10035,-,10035,3,10035,10035,0,255000,0
10723276009,503056778,100630,(SIAP KIRIM) PERFECT BREAST MASK Masker Pembesar & Pengencang Payudara Terbaik,-,24500,24500,24500,24500,24500,-,10002,10002,10002,10002,10002,5,10002,10002,0,24500,0
3742008961,284131286,100630,Tamanu oil original perawatan wajah untuk pria wanita dengan wajah berjerawat remaja / dewasa,-,49000,49000,49000,49000,49000,-,13345,13346,13346,13346,13346,5,13345,13346,1,49000,49000
11721833412,164600279,100630,SERUM AISH ORIGINAL / AISH SERUM ORIGINAL / SERUM AISH KOREA / ACNE / BRIGHTENING / DARKSPOT,-,119000,119000,-,-,119000,-,18677,18677,-,-,18679,3,18677,18679,2,119000,238000
8468903336,398684608,100630,Ms Glow Whitening Day Cream Original Pelembab Wajah Bpom Halal 12gr,-,85000,85000,-,-,85000,-,10000,10000,-,-,10000,3,10000,10000,0,85000,0
9283287026,491987503,100630,PAKET MS GLOW BEAUTY FREE JJ GLOW MINI ORIGINAL,250000,250000,-,220000,220000,229999,11201,11201,-,11201,11201,11201,5,11201,11201,0,234000,0
7540575298,279450296,100630,Botulax 100u original korea,-,-,630000,-,630000,630000,-,-,13705,-,13713,13716,3,13705,13716,11,630000,6930000
5393967655,94309880,100630,Madame Gie Lip Matte Netizen - Make Up Lipstick | Lip Cream,9900,9900,9900,9900,9900,10000,41084,41182,42740,44329,45684,46951,6,41084,46951,5867,9917,58181083
6395862146,69162884,100630,DAISY ORGANIC / MASKER ORGANIK DAISY / MASKER WAJAH ORGANIK / MASKER JERAWAT / FACE MASK ORGANIK,-,-,15000,15000,15000,15000,-,-,10002,10005,10005,10006,4,10002,10006,4,15000,60000
1582613269,34880155,100630,Nature Republic Mask Sheet All variant,3300,-,3300,-,3300,3300,40384,-,40768,-,42251,42980,4,40384,42980,2596,3300,8566800
10821163409,367799781,100630,Sheriz Brightening Body Lotion Original Termurah Dan Terlaris Free Masker Spirulina Tiens Original,-,78000,78000,78000,78000,78000,-,11000,11000,11000,11000,11000,5,11000,11000,0,78000,0
1661215761,15612520,100630,Mascara Wand Sisir Kuas Sikat Eyelash Extention Bulu Mata Spoolers Makeup Tool Kit Pink S098,-,-,297,-,-,297,-,-,85024,-,-,87001,2,85024,87001,1977,297,587169
9684136446,495045283,100630,SABUN SAFFRON PEMUTIH WAJAH GLOWING PENGHILANG JERAWAT KOMEDO DAN FLEK HITAM,-,7500,7500,-,7500,-,-,10000,10000,-,10000,-,3,10000,10000,0,7500,0
623382315,17566419,100630,MS glow Facial wash,60000,60000,60000,60000,60000,60000,116183,116236,116855,117354,117856,118309,6,116183,118309,2126,60000,127560000
9080463460,164987073,100630,(BISA COD) PERFECT BREAST MASK ~ MASKER PEMBESAR & PENGENCANG PAYUDARA HERBAL ALAMI BPOM,-,26500,26500,-,-,-,-,10031,10035,-,-,-,2,10031,10035,4,26500,106000
3995448582,494767923,100630,Serum Wajah Facial Essence Moisturizes Celles 30 Gel Tiane M&Y Extract Hydra Facial Essence by Tiens,-,2300,2300,2300,2300,2300,-,10028,10028,10028,10028,10028,5,10028,10028,0,2300,0
4546714427,34973060,100630,Spatula Masker / Sendok Masker,-,180,180,-,180,-,-,36134,36439,-,38003,-,3,36134,38003,1869,180,336420
9657291407,31169310,100630,MASKER BIBIR COLLAGEN Pelembab Mulut Kering Pecah Lip Mask Moisturizing Moist Halus Lembut Pink,-,-,-,-,-,1200,-,-,-,-,-,25221,1,25221,25221,0,1200,0
4982275373,744873,100630,[Checkout Rp1000] Makarizo Hair Energy Conditioning & Shampoo 10ml,1000,1000,1000,1000,1000,1000,34214,34228,34843,35495,36220,36719,6,34214,36719,2505,1000,2505000
5621853247,15465018,100630,[BESTSELLER] IMPLORA PENSIL ALIS,-,-,-,-,2500,-,-,-,-,-,243570,-,1,243570,243570,0,2500,0
8575799065,483904450,100630,sabun muka 'Alpha Rules Face Up-sabun perawatan pembersih muka wajah pria/cowok Facial Wash 100 ml,125000,125000,-,125000,125000,125000,11786,11786,-,11786,11786,11786,5,11786,11786,0,125000,0
5551263986,284315645,100630,Divine 24pcs/Set Kuku Palsu Dengan Lem Fashion Acrylic multi Design Nail Art,8000,8000,8000,8000,8000,8000,173248,173284,173803,174767,175154,175655,6,173248,175655,2407,8000,19256000
7716852929,17005061,100630,SR12 MINYAK BULUS / MASSAGE OIL BULUS SR12 / PENGENCANG PAYUDARA / MINYAK BULUS ORIGINAL,-,-,-,95000,95000,95000,-,-,-,11002,11003,11003,3,11002,11003,1,95000,95000
8685326656,495096234,100630,Sabun Muka Wajah Pria ClorisMen Skincare Perawatan Penghilang Jerawat Pembersih Wajah Pria Anti Acne,-,35000,35000,35000,35000,35000,-,10007,10008,10008,10010,10010,5,10007,10010,3,35000,105000
2310746132,15465018,100630,[GROSIR] Implora Lip Cream Original matte,-,12000,12000,-,-,-,-,123856,124002,-,-,-,2,123856,124002,146,12000,1752000
9978797461,18023176,100630,susu whitening gluta whitening booster,-,-,-,-,200000,-,-,-,-,-,10000,-,1,10000,10000,0,200000,0
5636506565,234560314,100630,ROREC / HCHANA MASK MASKER WAJAH FACIAL MASK,1978,1978,1978,1978,1978,1978,402459,402463,402680,402819,402976,403235,6,402459,403235,776,1978,1534928
4686420553,426134429,100630,[ERESSKIN] HB PEMUTIH SUPER ERESSKIN HANDBODY DOSIS TINGGI LOTION WHITENING TUBUH BADAN BPOM DOSTING,-,70000,-,-,70000,70000,-,11755,-,-,11758,11759,3,11755,11759,4,70000,280000
10202766189,358200526,100630,bedak lotong bubuk / bedda lotong bubuk / lulur viral / beda lotong bubuk beddak lotong,5950,-,-,-,-,5950,18284,-,-,-,-,20187,2,18284,20187,1903,5950,11322850
3417987384,48382819,100630,"❤ BELIA ❤ KOJIE SAN Skin Lightening Soap Kojic Acid, Dream White 45 / 65 / 135g  Sabun KOJIESAN BPOM",11400,-,-,-,-,-,155501,-,-,-,-,-,1,155501,155501,0,11400,0
